,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Curve,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,Release Clause
0,158023,L. Messi,31,Argentina,94,94,FC Barcelona,€110.5M,€565K,Left,5,4,4,2021,5'7,159lbs,84,95,70,90,86,93,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,75,96,33,28,26,€226.5M
1,20801,Cristiano Ronaldo,33,Portugal,94,94,Juventus,€77M,€405K,Right,5,4,5,2022,6'2,183lbs,84,94,89,81,87,81,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,€127.1M
2,190871,Neymar Jr,26,Brazil,92,93,Paris Saint-Germain,€118.5M,€290K,Right,5,5,5,2022,5'9,150lbs,79,87,62,84,84,88,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33,€228.1M
3,193080,De Gea,27,Spain,91,93,Manchester United,€72M,€260K,Right,4,3,1,2020,6'4,168lbs,17,13,21,50,13,21,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,40,68,15,21,13,€138.6M
4,192985,K. De Bruyne,27,Belgium,91,92,Manchester City,€102M,€355K,Right,4,5,4,2023,5'11,154lbs,93,82,55,92,82,85,91,91,78,76,79,91,77,91,63,90,75,91,76,61,87,94,79,88,68,58,51,€196.4M
5,183277,E. Hazard,27,Belgium,91,91,Chelsea,€93M,€340K,Right,4,4,4,2020,5'8,163lbs,81,84,61,89,80,83,83,94,94,88,95,90,94,82,56,83,66,80,54,41,87,89,86,91,34,27,22,€172.1M
6,177003,L. Modrić,32,Croatia,91,91,Real Madrid,€67M,€420K,Right,4,4,4,2020,5'8,146lbs,86,72,55,93,76,85,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73,€137.4M
7,176580,L. Suárez,31,Uruguay,91,91,FC Barcelona,€80M,€455K,Right,5,4,3,2021,6'0,190lbs,77,93,77,82,88,86,64,90,86,75,82,92,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38,€164M
8,155862,Sergio Ramos,32,Spain,91,91,Real Madrid,€51M,€380K,Right,4,3,3,2020,6'0,181lbs,66,60,91,78,66,74,77,84,76,75,78,85,66,79,93,84,83,59,88,90,60,63,75,82,87,92,91,€104.6M
9,200389,J. Oblak,25,Slovenia,90,93,Atlético Madrid,€68M,€94K,Right,3,3,1,2021,6'2,192lbs,13,11,15,29,13,13,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,70,11,70,27,12,18,€144.5M
10,188545,R. Lewandowski,29,Poland,90,90,FC Bayern München,€77M,€205K,Right,4,4,4,2021,6'0,176lbs,62,91,85,83,89,77,65,89,77,78,78,90,78,88,84,78,84,84,80,39,91,77,88,86,34,42,19,€127.1M
11,182521,T. Kroos,28,Germany,90,90,Real Madrid,€76.5M,€355K,Right,4,5,3,2022,6'0,168lbs,88,76,54,92,82,86,93,90,64,62,70,89,71,87,30,75,73,92,60,82,79,86,73,85,72,79,69,€156.8M
12,182493,D. Godín,32,Uruguay,90,90,Atlético Madrid,€44M,€125K,Right,3,3,2,2019,6'2,172lbs,55,42,92,79,47,49,70,76,68,68,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89,€90.2M
13,168542,David Silva,32,Spain,90,90,Manchester City,€60M,€285K,Left,4,2,4,2020,5'8,148lbs,84,76,54,93,82,82,87,94,70,64,92,90,90,72,64,78,52,75,57,50,89,92,75,93,59,53,29,€111M
14,215914,N. Kanté,27,France,89,90,Chelsea,€63M,€225K,Right,3,3,2,2023,5'6,159lbs,68,65,54,86,56,49,81,80,82,78,82,93,92,71,77,96,76,69,90,92,71,79,54,85,90,91,85,€121.3M
15,211110,P. Dybala,24,Argentina,89,94,Juventus,€89M,€205K,Left,3,3,4,2022,5'10,165lbs,82,84,68,87,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,€153.5M
16,202126,H. Kane,24,England,89,91,Tottenham Hotspur,€83.5M,€205K,Right,3,4,3,2024,6'2,196lbs,75,94,85,80,84,78,82,84,68,72,71,91,71,88,78,89,84,85,76,35,93,80,90,89,56,36,38,€160.7M
17,194765,A. Griezmann,27,France,89,90,Atlético Madrid,€78M,€145K,Left,4,3,4,2023,5'9,161lbs,82,90,84,83,87,84,76,90,88,85,90,90,80,80,90,83,62,82,69,35,91,83,79,87,59,47,48,€165.8M
18,192448,M. ter Stegen,26,Germany,89,92,FC Barcelona,€58M,€240K,Right,3,4,1,2022,6'2,187lbs,15,14,11,36,14,18,42,18,38,50,37,85,43,22,79,35,79,10,43,22,11,69,25,69,25,13,10,€123.3M
19,192119,T. Courtois,26,Belgium,89,90,Real Madrid,€53.5M,€240K,Left,4,2,1,2024,6'6,212lbs,14,14,13,33,12,19,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16,€113.7M
20,189511,Sergio Busquets,29,Spain,89,89,FC Barcelona,€51.5M,€315K,Right,4,3,3,2023,6'2,168lbs,62,67,68,89,44,66,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,90,90,86,80,€105.6M
21,179813,E. Cavani,31,Uruguay,89,89,Paris Saint-Germain,€60M,€200K,Right,4,4,3,2020,6'1,170lbs,70,89,89,78,90,77,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39,€111M
22,167495,M. Neuer,32,Germany,89,89,FC Bayern München,€38M,€130K,Right,5,4,1,2021,6'4,203lbs,15,13,25,55,11,14,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11,€62.7M
23,153079,S. Agüero,30,Argentina,89,89,Manchester City,€64.5M,€300K,Right,4,4,4,2021,5'8,154lbs,70,93,77,81,85,82,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12,€119.3M
24,138956,G. Chiellini,33,Italy,89,89,Juventus,€27M,€215K,Left,4,3,2,2020,6'2,187lbs,58,33,83,59,45,60,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90,€44.6M
25,231747,K. Mbappé,19,France,88,95,Paris Saint-Germain,€81M,€100K,Right,3,4,5,2022,5'10,161lbs,77,88,77,82,78,77,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32,€166.1M
26,209331,M. Salah,26,Egypt,88,89,Liverpool,€69.5M,€255K,Left,3,3,4,2023,5'9,157lbs,78,90,59,82,73,83,72,88,94,91,91,91,88,77,68,84,70,83,63,55,90,82,61,91,38,43,41,€137.3M
27,200145,Casemiro,26,Brazil,88,90,Real Madrid,€59.5M,€285K,Right,3,3,2,2021,6'1,185lbs,52,59,76,85,53,59,82,78,59,65,62,84,66,86,88,87,89,79,87,87,69,77,66,84,88,90,87,€126.4M
28,198710,J. Rodríguez,26,Colombia,88,89,FC Bayern München,€69.5M,€315K,Left,4,3,4,"Jun 30, 2019",5'11,172lbs,90,83,62,89,90,89,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,89,81,87,52,41,44,
29,198219,L. Insigne,27,Italy,88,88,Napoli,€62M,€165K,Right,3,3,4,2022,5'4,130lbs,86,77,56,85,74,87,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,€105.4M
30,197781,Isco,26,Spain,88,91,Real Madrid,€73.5M,€315K,Right,3,3,4,2022,5'9,174lbs,75,79,55,89,65,88,83,95,75,69,87,77,90,69,64,70,59,87,58,64,78,89,76,86,60,64,51,€156.2M
31,190460,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,€73.5M,€205K,Right,3,5,4,2020,5'11,168lbs,88,80,52,91,77,86,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,€141.5M
32,189242,Coutinho,26,Brazil,88,89,FC Barcelona,€69.5M,€340K,Right,3,4,5,2023,5'8,150lbs,79,79,48,88,75,91,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47,€147.7M
33,188567,P. Aubameyang,29,Gabon,88,88,Arsenal,€59M,€265K,Right,3,4,4,2021,6'2,176lbs,77,88,79,77,86,80,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36,€112.1M
34,178603,M. Hummels,29,Germany,88,88,FC Bayern München,€46M,€160K,Right,4,3,3,2021,6'3,203lbs,64,55,87,81,60,65,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88,€75.9M
35,176676,Marcelo,30,Brazil,88,88,Real Madrid,€43M,€285K,Left,4,4,5,2022,5'9,176lbs,90,70,75,84,54,85,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86,€88.2M
36,173731,G. Bale,28,Wales,88,88,Real Madrid,€60M,€355K,Left,4,3,4,2022,6'1,181lbs,87,86,84,85,85,90,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,€123M
37,167948,H. Lloris,31,France,88,88,Tottenham Hotspur,€36M,€150K,Left,4,1,1,2022,6'2,181lbs,13,10,10,50,11,11,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18,€66.6M
38,167664,G. Higuaín,30,Argentina,88,88,Milan,€57M,€245K,Right,4,4,3,"Jun 30, 2019",6'1,196lbs,68,92,80,75,90,74,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,
39,164240,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,€24M,€165K,Right,4,3,2,2020,6'0,181lbs,60,38,81,80,63,61,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85,€44.4M
40,162835,S. Handanovič,33,Slovenia,88,88,Inter,€30M,€110K,Right,3,2,1,2021,6'4,203lbs,12,10,10,36,12,12,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,23,69,25,10,13,€51M
41,1179,G. Buffon,40,Italy,88,88,Paris Saint-Germain,€4M,€77K,Right,4,2,1,2019,6'4,203lbs,13,15,13,37,17,20,35,28,49,43,55,79,49,39,75,39,69,13,38,28,12,50,22,70,13,11,11,€7.4M
42,205600,S. Umtiti,24,France,87,92,FC Barcelona,€57M,€205K,Left,3,3,2,2023,6'0,165lbs,69,51,79,81,70,72,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,€121.1M
43,201399,M. Icardi,25,Argentina,87,90,Inter,€64.5M,€130K,Right,3,4,3,2021,5'11,165lbs,46,91,91,73,85,58,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,€114.5M
44,201024,K. Koulibaly,27,Senegal,87,90,Napoli,€51M,€115K,Right,3,3,2,2021,6'2,196lbs,30,19,81,66,14,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,€90.5M
